"SEX","GEO","TIME","AGE","ISCED11","UNIT","Value","Flag and Footnotes"
"Total","Latvia","2013","From 15 to 64 years","No response","Percentage",":","u"
"Total","Latvia","2014","From 15 to 64 years","All ISCED 2011 levels ","Percentage","66.3",""
"Total","Latvia","2014","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","32.7","b"
"Total","Latvia","2014","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","67.7","b"
"Total","Latvia","2014","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","83.4","b"
"Total","Latvia","2014","From 15 to 64 years","No response","Percentage",":","bu"
"Total","Latvia","2015","From 15 to 64 years","All ISCED 2011 levels ","Percentage","68.1",""
"Total","Latvia","2015","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","34.7",""
"Total","Latvia","2015","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","68.8",""
"Total","Latvia","2015","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","85.1",""
"Total","Latvia","2015","From 15 to 64 years","No response","Percentage",":","u"
"Total","Lithuania","2004","From 15 to 64 years","All ISCED 2011 levels ","Percentage","61.8",""
"Total","Lithuania","2004","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","28.1",""
"Total","Lithuania","2004","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","66.4",""
"Total","Lithuania","2004","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","84.3",""
"Total","Lithuania","2004","From 15 to 64 years","No response","Percentage",":",""
"Total","Lithuania","2005","From 15 to 64 years","All ISCED 2011 levels ","Percentage","62.9",""
"Total","Lithuania","2005","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","25.7","b"
"Total","Lithuania","2005","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","67.2","b"
"Total","Lithuania","2005","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","86.3","b"
"Total","Lithuania","2005","From 15 to 64 years","No response","Percentage",":",""
"Total","Lithuania","2006","From 15 to 64 years","All ISCED 2011 levels ","Percentage","63.6",""
"Total","Lithuania","2006","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","25.3",""
"Total","Lithuania","2006","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","68.3",""
"Total","Lithuania","2006","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","87.4",""
"Total","Lithuania","2006","From 15 to 64 years","No response","Percentage",":",""
"Total","Lithuania","2007","From 15 to 64 years","All ISCED 2011 levels ","Percentage","65.0",""
"Total","Lithuania","2007","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","26.5",""
"Total","Lithuania","2007","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","69.0",""
"Total","Lithuania","2007","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","87.9",""
"Total","Lithuania","2007","From 15 to 64 years","No response","Percentage",":",""
"Total","Lithuania","2008","From 15 to 64 years","All ISCED 2011 levels ","Percentage","64.4",""
"Total","Lithuania","2008","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","20.9",""
"Total","Lithuania","2008","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","68.2",""
"Total","Lithuania","2008","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","87.6",""
"Total","Lithuania","2008","From 15 to 64 years","No response","Percentage",":",""
"Total","Lithuania","2009","From 15 to 64 years","All ISCED 2011 levels ","Percentage","59.9",""
"Total","Lithuania","2009","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","17.5",""
"Total","Lithuania","2009","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","61.7",""
"Total","Lithuania","2009","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","85.7",""
"Total","Lithuania","2009","From 15 to 64 years","No response","Percentage",":",""
"Total","Lithuania","2010","From 15 to 64 years","All ISCED 2011 levels ","Percentage","57.6",""
"Total","Lithuania","2010","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","14.0",""
"Total","Lithuania","2010","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","57.5",""
"Total","Lithuania","2010","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","85.3",""
"Total","Lithuania","2010","From 15 to 64 years","No response","Percentage",":",""
"Total","Lithuania","2011","From 15 to 64 years","All ISCED 2011 levels ","Percentage","60.2",""
"Total","Lithuania","2011","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","14.4",""
"Total","Lithuania","2011","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","59.7",""
"Total","Lithuania","2011","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","87.2",""
"Total","Lithuania","2011","From 15 to 64 years","No response","Percentage",":",""
"Total","Lithuania","2012","From 15 to 64 years","All ISCED 2011 levels ","Percentage","62.0",""
"Total","Lithuania","2012","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","15.7",""
"Total","Lithuania","2012","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","61.7",""
"Total","Lithuania","2012","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","87.0",""
"Total","Lithuania","2012","From 15 to 64 years","No response","Percentage",":",""
"Total","Lithuania","2013","From 15 to 64 years","All ISCED 2011 levels ","Percentage","63.7",""
"Total","Lithuania","2013","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","17.1",""
"Total","Lithuania","2013","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","63.0",""
"Total","Lithuania","2013","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","87.6",""
"Total","Lithuania","2013","From 15 to 64 years","No response","Percentage",":",""
"Total","Lithuania","2014","From 15 to 64 years","All ISCED 2011 levels ","Percentage","65.7",""
"Total","Lithuania","2014","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","19.5","b"
"Total","Lithuania","2014","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","64.6","b"
"Total","Lithuania","2014","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","88.4","b"
"Total","Lithuania","2014","From 15 to 64 years","No response","Percentage",":",""
"Total","Lithuania","2015","From 15 to 64 years","All ISCED 2011 levels ","Percentage","67.2",""
"Total","Lithuania","2015","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","19.9",""
"Total","Lithuania","2015","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","66.1",""
"Total","Lithuania","2015","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","88.7",""
"Total","Lithuania","2015","From 15 to 64 years","No response","Percentage",":",""
"Total","Luxembourg","2004","From 15 to 64 years","All ISCED 2011 levels ","Percentage","62.5",""
"Total","Luxembourg","2004","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","48.3",""
"Total","Luxembourg","2004","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","66.8",""
"Total","Luxembourg","2004","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","81.9",""
"Total","Luxembourg","2004","From 15 to 64 years","No response","Percentage",":","u"
"Total","Luxembourg","2005","From 15 to 64 years","All ISCED 2011 levels ","Percentage","63.6",""
"Total","Luxembourg","2005","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","49.1","b"
"Total","Luxembourg","2005","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","67.1","b"
"Total","Luxembourg","2005","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.5","b"
"Total","Luxembourg","2005","From 15 to 64 years","No response","Percentage",":","bu"
"Total","Luxembourg","2006","From 15 to 64 years","All ISCED 2011 levels ","Percentage","63.6",""
"Total","Luxembourg","2006","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","48.1",""
"Total","Luxembourg","2006","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","68.1",""
"Total","Luxembourg","2006","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","84.3",""
"Total","Luxembourg","2006","From 15 to 64 years","No response","Percentage",":","c"
"Total","Luxembourg","2007","From 15 to 64 years","All ISCED 2011 levels ","Percentage","64.2",""
"Total","Luxembourg","2007","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","49.8","b"
"Total","Luxembourg","2007","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","67.3","b"
"Total","Luxembourg","2007","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","83.4","b"
"Total","Luxembourg","2007","From 15 to 64 years","No response","Percentage",":",""
"Total","Luxembourg","2008","From 15 to 64 years","All ISCED 2011 levels ","Percentage","63.4",""
"Total","Luxembourg","2008","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","48.4",""
"Total","Luxembourg","2008","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","65.3",""
"Total","Luxembourg","2008","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","83.6",""
"Total","Luxembourg","2008","From 15 to 64 years","No response","Percentage",":",""
"Total","Luxembourg","2009","From 15 to 64 years","All ISCED 2011 levels ","Percentage","65.2",""
"Total","Luxembourg","2009","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","45.0","b"
"Total","Luxembourg","2009","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","65.8","b"
"Total","Luxembourg","2009","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","83.8","b"
"Total","Luxembourg","2009","From 15 to 64 years","No response","Percentage","60.9","b"
"Total","Luxembourg","2010","From 15 to 64 years","All ISCED 2011 levels ","Percentage","65.2",""
"Total","Luxembourg","2010","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","43.7",""
"Total","Luxembourg","2010","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","66.8",""
"Total","Luxembourg","2010","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","83.8",""
"Total","Luxembourg","2010","From 15 to 64 years","No response","Percentage","63.6",""
"Total","Luxembourg","2011","From 15 to 64 years","All ISCED 2011 levels ","Percentage","64.6",""
"Total","Luxembourg","2011","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","44.2",""
"Total","Luxembourg","2011","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","64.4",""
"Total","Luxembourg","2011","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","83.7",""
"Total","Luxembourg","2011","From 15 to 64 years","No response","Percentage","61.2",""
"Total","Luxembourg","2012","From 15 to 64 years","All ISCED 2011 levels ","Percentage","65.8",""
"Total","Luxembourg","2012","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","44.8",""
"Total","Luxembourg","2012","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","65.8",""
"Total","Luxembourg","2012","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","83.6",""
"Total","Luxembourg","2012","From 15 to 64 years","No response","Percentage","70.1",""
"Total","Luxembourg","2013","From 15 to 64 years","All ISCED 2011 levels ","Percentage","65.7",""
"Total","Luxembourg","2013","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","43.2",""
"Total","Luxembourg","2013","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","65.3",""
"Total","Luxembourg","2013","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.9",""
"Total","Luxembourg","2013","From 15 to 64 years","No response","Percentage","64.9",""
"Total","Luxembourg","2014","From 15 to 64 years","All ISCED 2011 levels ","Percentage","66.6",""
"Total","Luxembourg","2014","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","42.0","b"
"Total","Luxembourg","2014","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","65.9","b"
"Total","Luxembourg","2014","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","83.0","b"
"Total","Luxembourg","2014","From 15 to 64 years","No response","Percentage","61.2","b"
"Total","Luxembourg","2015","From 15 to 64 years","All ISCED 2011 levels ","Percentage","66.1",""
"Total","Luxembourg","2015","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","46.8","b"
"Total","Luxembourg","2015","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","65.8","b"
"Total","Luxembourg","2015","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","83.3","b"
"Total","Luxembourg","2015","From 15 to 64 years","No response","Percentage","63.9","b"
"Total","Hungary","2004","From 15 to 64 years","All ISCED 2011 levels ","Percentage","56.6",""
"Total","Hungary","2004","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","27.3",""
"Total","Hungary","2004","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","65.7",""
"Total","Hungary","2004","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.2",""
"Total","Hungary","2004","From 15 to 64 years","No response","Percentage",":",""
"Total","Hungary","2005","From 15 to 64 years","All ISCED 2011 levels ","Percentage","56.9",""
"Total","Hungary","2005","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","28.0","b"
"Total","Hungary","2005","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","64.9","b"
"Total","Hungary","2005","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.5","b"
"Total","Hungary","2005","From 15 to 64 years","No response","Percentage",":",""
"Total","Hungary","2006","From 15 to 64 years","All ISCED 2011 levels ","Percentage","57.4",""
"Total","Hungary","2006","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","27.4",""
"Total","Hungary","2006","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","65.2",""
"Total","Hungary","2006","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","81.5",""
"Total","Hungary","2006","From 15 to 64 years","No response","Percentage",":",""
"Total","Hungary","2007","From 15 to 64 years","All ISCED 2011 levels ","Percentage","57.0",""
"Total","Hungary","2007","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","26.9",""
"Total","Hungary","2007","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","64.6",""
"Total","Hungary","2007","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","79.9",""
"Total","Hungary","2007","From 15 to 64 years","No response","Percentage",":",""
"Total","Hungary","2008","From 15 to 64 years","All ISCED 2011 levels ","Percentage","56.4",""
"Total","Hungary","2008","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","27.0",""
"Total","Hungary","2008","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","63.0",""
"Total","Hungary","2008","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","79.2",""
"Total","Hungary","2008","From 15 to 64 years","No response","Percentage",":",""
"Total","Hungary","2009","From 15 to 64 years","All ISCED 2011 levels ","Percentage","55.0",""
"Total","Hungary","2009","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","25.4",""
"Total","Hungary","2009","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","61.1",""
"Total","Hungary","2009","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","77.9",""
"Total","Hungary","2009","From 15 to 64 years","No response","Percentage",":",""
"Total","Hungary","2010","From 15 to 64 years","All ISCED 2011 levels ","Percentage","54.9",""
"Total","Hungary","2010","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","25.4",""
"Total","Hungary","2010","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","60.7",""
"Total","Hungary","2010","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","77.5",""
"Total","Hungary","2010","From 15 to 64 years","No response","Percentage",":",""
"Total","Hungary","2011","From 15 to 64 years","All ISCED 2011 levels ","Percentage","55.4",""
"Total","Hungary","2011","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","25.5",""
"Total","Hungary","2011","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","60.8",""
"Total","Hungary","2011","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","78.5",""
"Total","Hungary","2011","From 15 to 64 years","No response","Percentage",":",""
"Total","Hungary","2012","From 15 to 64 years","All ISCED 2011 levels ","Percentage","56.7",""
"Total","Hungary","2012","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","26.0",""
"Total","Hungary","2012","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","61.9",""
"Total","Hungary","2012","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","78.5",""
"Total","Hungary","2012","From 15 to 64 years","No response","Percentage",":",""
"Total","Hungary","2013","From 15 to 64 years","All ISCED 2011 levels ","Percentage","58.1",""
"Total","Hungary","2013","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","26.9",""
"Total","Hungary","2013","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","63.3",""
"Total","Hungary","2013","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","78.8",""
"Total","Hungary","2013","From 15 to 64 years","No response","Percentage",":",""
"Total","Hungary","2014","From 15 to 64 years","All ISCED 2011 levels ","Percentage","61.8",""
"Total","Hungary","2014","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","31.5","b"
"Total","Hungary","2014","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","66.7","b"
"Total","Hungary","2014","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","80.8","b"
"Total","Hungary","2014","From 15 to 64 years","No response","Percentage",":",""
"Total","Hungary","2015","From 15 to 64 years","All ISCED 2011 levels ","Percentage","63.9",""
"Total","Hungary","2015","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","33.9",""
"Total","Hungary","2015","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","68.8",""
"Total","Hungary","2015","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.1",""
"Total","Hungary","2015","From 15 to 64 years","No response","Percentage",":",""
"Total","Malta","2004","From 15 to 64 years","All ISCED 2011 levels ","Percentage","53.4",""
"Total","Malta","2004","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","46.3","bd"
"Total","Malta","2004","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","65.8","bd"
"Total","Malta","2004","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","86.1","b"
"Total","Malta","2004","From 15 to 64 years","No response","Percentage",":",""
"Total","Malta","2005","From 15 to 64 years","All ISCED 2011 levels ","Percentage","53.6",""
"Total","Malta","2005","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","45.8","b"
"Total","Malta","2005","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","65.2","b"
"Total","Malta","2005","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.8","b"
"Total","Malta","2005","From 15 to 64 years","No response","Percentage",":",""
"Total","Malta","2006","From 15 to 64 years","All ISCED 2011 levels ","Percentage","53.9",""
"Total","Malta","2006","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","46.4",""
"Total","Malta","2006","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","63.0",""
"Total","Malta","2006","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","81.7",""
"Total","Malta","2006","From 15 to 64 years","No response","Percentage",":",""
"Total","Malta","2007","From 15 to 64 years","All ISCED 2011 levels ","Percentage","55.0",""
"Total","Malta","2007","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","46.9",""
"Total","Malta","2007","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","64.1",""
"Total","Malta","2007","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","85.2",""
"Total","Malta","2007","From 15 to 64 years","No response","Percentage",":",""
"Total","Malta","2008","From 15 to 64 years","All ISCED 2011 levels ","Percentage","55.5",""
"Total","Malta","2008","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","48.1",""
"Total","Malta","2008","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","60.6",""
"Total","Malta","2008","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","85.8",""
"Total","Malta","2008","From 15 to 64 years","No response","Percentage",":",""
"Total","Malta","2009","From 15 to 64 years","All ISCED 2011 levels ","Percentage","55.3",""
"Total","Malta","2009","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","47.1",""
"Total","Malta","2009","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","61.0",""
"Total","Malta","2009","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","83.5",""
"Total","Malta","2009","From 15 to 64 years","No response","Percentage",":",""
"Total","Malta","2010","From 15 to 64 years","All ISCED 2011 levels ","Percentage","56.2",""
"Total","Malta","2010","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","47.0",""
"Total","Malta","2010","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","63.1",""
"Total","Malta","2010","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","83.0",""
"Total","Malta","2010","From 15 to 64 years","No response","Percentage",":",""
"Total","Malta","2011","From 15 to 64 years","All ISCED 2011 levels ","Percentage","57.9",""
"Total","Malta","2011","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","47.9","b"
"Total","Malta","2011","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","64.0","b"
"Total","Malta","2011","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","86.2","b"
"Total","Malta","2011","From 15 to 64 years","No response","Percentage",":",""
"Total","Malta","2012","From 15 to 64 years","All ISCED 2011 levels ","Percentage","59.1",""
"Total","Malta","2012","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","48.0",""
"Total","Malta","2012","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","66.5",""
"Total","Malta","2012","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","85.3",""
"Total","Malta","2012","From 15 to 64 years","No response","Percentage",":",""
"Total","Malta","2013","From 15 to 64 years","All ISCED 2011 levels ","Percentage","60.8",""
"Total","Malta","2013","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","48.9",""
"Total","Malta","2013","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","68.3",""
"Total","Malta","2013","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","86.6",""
"Total","Malta","2013","From 15 to 64 years","No response","Percentage",":",""
"Total","Malta","2014","From 15 to 64 years","All ISCED 2011 levels ","Percentage","62.4",""
"Total","Malta","2014","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","50.4","b"
"Total","Malta","2014","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","69.8","b"
"Total","Malta","2014","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","86.7","b"
"Total","Malta","2014","From 15 to 64 years","No response","Percentage",":",""
"Total","Malta","2015","From 15 to 64 years","All ISCED 2011 levels ","Percentage","63.9",""
"Total","Malta","2015","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","52.0",""
"Total","Malta","2015","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","69.6",""
"Total","Malta","2015","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","88.7",""
"Total","Malta","2015","From 15 to 64 years","No response","Percentage",":",""
"Total","Netherlands","2004","From 15 to 64 years","All ISCED 2011 levels ","Percentage","73.1",""
"Total","Netherlands","2004","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","58.5",""
"Total","Netherlands","2004","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","77.4",""
"Total","Netherlands","2004","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","85.4",""
"Total","Netherlands","2004","From 15 to 64 years","No response","Percentage","71.8",""
"Total","Netherlands","2005","From 15 to 64 years","All ISCED 2011 levels ","Percentage","73.2",""
"Total","Netherlands","2005","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","58.4","b"
"Total","Netherlands","2005","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","77.4","b"
"Total","Netherlands","2005","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","85.4","b"
"Total","Netherlands","2005","From 15 to 64 years","No response","Percentage","64.5","b"
"Total","Netherlands","2006","From 15 to 64 years","All ISCED 2011 levels ","Percentage","74.3",""
"Total","Netherlands","2006","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","59.4",""
"Total","Netherlands","2006","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","78.7",""
"Total","Netherlands","2006","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","86.2",""
"Total","Netherlands","2006","From 15 to 64 years","No response","Percentage","69.1",""
"Total","Netherlands","2007","From 15 to 64 years","All ISCED 2011 levels ","Percentage","76.0",""
"Total","Netherlands","2007","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","61.0",""
"Total","Netherlands","2007","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","79.9",""
"Total","Netherlands","2007","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","87.5",""
"Total","Netherlands","2007","From 15 to 64 years","No response","Percentage","73.7",""
"Total","Netherlands","2008","From 15 to 64 years","All ISCED 2011 levels ","Percentage","77.2",""
"Total","Netherlands","2008","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","62.8",""
"Total","Netherlands","2008","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","80.9",""
"Total","Netherlands","2008","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","87.9",""
"Total","Netherlands","2008","From 15 to 64 years","No response","Percentage","78.0",""
"Total","Netherlands","2009","From 15 to 64 years","All ISCED 2011 levels ","Percentage","77.0",""
