SEX,GEO,AGE,N_CHILD,AGECHILD,ISCED11,TIME,Value,FlagandFootnotes
Total,Norway,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2014,:,
Total,Norway,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2015,:,
Total,Norway,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2013,:,
Total,Norway,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2014,:,
Total,Norway,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2015,:,
Total,Norway,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2013,:,
Total,Norway,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2014,:,
Total,Norway,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2015,:,
Total,Norway,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2013,:,
Total,Norway,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2014,:,
Total,Norway,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2015,:,
Total,Norway,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2013,:,
Total,Norway,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2014,:,
Total,Norway,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2015,:,
Total,Norway,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2013,:,
Total,Norway,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2014,:,
Total,Norway,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2015,:,
Total,Norway,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2013,:,
Total,Norway,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2014,:,
Total,Norway,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2015,:,
Total,Norway,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2013,:,
Total,Norway,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2014,:,
Total,Norway,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2015,:,
Total,Norway,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2013,:,
Total,Norway,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2014,:,
Total,Norway,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2015,:,
Total,Norway,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2013,:,
Total,Norway,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2014,:,
Total,Norway,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2015,:,
Total,Norway,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2013,:,
Total,Norway,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2014,:,
Total,Norway,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2015,:,
Total,Norway,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2013,:,
Total,Norway,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2014,:,
Total,Norway,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2015,:,
Total,Norway,From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2013,:,
Total,Norway,From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2014,:,
Total,Norway,From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2015,:,
Total,Norway,From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2013,:,
Total,Norway,From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2014,:,
Total,Norway,From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2015,:,
Total,Norway,From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2013,:,
Total,Norway,From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2014,:,
Total,Norway,From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2015,:,
Total,Switzerland,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2013,:,
Total,Switzerland,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2014,:,b
Total,Switzerland,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2015,:,
Total,Switzerland,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2013,:,
Total,Switzerland,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2014,:,
Total,Switzerland,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2015,:,
Total,Switzerland,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2013,:,
Total,Switzerland,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2014,:,
Total,Switzerland,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2015,:,
Total,Switzerland,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2013,:,
Total,Switzerland,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2014,:,
Total,Switzerland,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2015,:,
Total,Switzerland,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2013,:,
Total,Switzerland,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2014,:,
Total,Switzerland,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2015,:,
Total,Switzerland,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2013,:,
Total,Switzerland,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2014,:,
Total,Switzerland,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2015,:,
Total,Switzerland,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2013,:,
Total,Switzerland,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2014,:,
Total,Switzerland,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2015,:,
Total,Switzerland,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2013,:,
Total,Switzerland,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2014,:,
Total,Switzerland,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2015,:,
Total,Switzerland,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2013,:,
Total,Switzerland,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2014,:,
Total,Switzerland,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2015,:,
Total,Switzerland,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2013,:,
Total,Switzerland,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2014,:,
Total,Switzerland,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2015,:,
Total,Switzerland,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2013,:,
Total,Switzerland,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2014,:,
Total,Switzerland,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2015,:,
Total,Switzerland,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2013,:,
Total,Switzerland,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2014,:,
Total,Switzerland,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2015,:,
Total,Switzerland,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2013,:,
Total,Switzerland,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2014,:,
Total,Switzerland,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2015,:,
Total,Switzerland,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2013,:,
Total,Switzerland,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2014,:,
Total,Switzerland,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2015,:,
Total,Switzerland,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2013,:,
Total,Switzerland,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2014,:,
Total,Switzerland,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2015,:,
Total,Switzerland,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2013,:,
Total,Switzerland,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2014,:,
Total,Switzerland,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2015,:,
Total,Switzerland,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2013,:,
Total,Switzerland,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2014,:,
Total,Switzerland,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2015,:,
Total,Switzerland,From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2013,:,
Total,Switzerland,From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2014,:,
Total,Switzerland,From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2015,:,
Total,Switzerland,From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2013,:,
Total,Switzerland,From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2014,:,
Total,Switzerland,From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2015,:,
Total,Switzerland,From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2013,:,
Total,Switzerland,From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2014,:,
Total,Switzerland,From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2015,:,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2013,52.7,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2014,53.7,b
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2015,54.5,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2013,48.3,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2014,48.8,b
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2015,48.4,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2013,59.5,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2014,60.1,b
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2015,61.2,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2013,58.5,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2014,59.6,b
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2015,59.7,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2013,50.2,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2014,51.9,b
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2015,53.6,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2013,:,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2014,:,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2015,:,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2013,:,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2014,:,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2015,:,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2013,:,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2014,:,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2015,:,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2013,55.8,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2014,55.6,b
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2015,57.3,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2013,51,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2014,53.3,b
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2015,54.6,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2013,60.8,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2014,57.6,b
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2015,56.1,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2013,57.8,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2014,56.7,b
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2015,59.1,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2013,60.9,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2014,63.1,b
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2015,62,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2013,55,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2014,55.1,b
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2015,53.9,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2013,66,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2014,68.6,b
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2015,68.8,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2013,63.1,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2014,67.1,b
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2015,64.4,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2013,39.8,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2014,40.2,b
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2015,40,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2013,39.1,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2014,39.2,b
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2015,38.9,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2013,43.1,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2014,44.2,b
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2015,46.4,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2013,38.3,
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2014,38.6,b
Total,"Former Yugoslav Republic of Macedonia, the",From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2015,36.7,
Total,Turkey,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2013,55.9,
Total,Turkey,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2014,55.7,b
Total,Turkey,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2015,55.9,
Total,Turkey,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2013,57,
Total,Turkey,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2014,56,b
Total,Turkey,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2015,56.1,
Total,Turkey,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2013,61.3,
Total,Turkey,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2014,61.2,b
Total,Turkey,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2015,61.1,
Total,Turkey,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2013,57.4,
Total,Turkey,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2014,57.3,b
Total,Turkey,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2015,57.8,
Total,Turkey,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2013,51.7,
Total,Turkey,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2014,52.2,b
Total,Turkey,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2015,52.7,
Total,Turkey,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2013,:,
Total,Turkey,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2014,:,
Total,Turkey,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2015,:,
Total,Turkey,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2013,:,
Total,Turkey,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2014,:,
Total,Turkey,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2015,:,
Total,Turkey,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2013,:,
Total,Turkey,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2014,:,
Total,Turkey,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2015,:,
Total,Turkey,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2013,59.3,
Total,Turkey,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2014,59.2,b
Total,Turkey,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2015,59.4,
Total,Turkey,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2013,59.9,
Total,Turkey,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2014,59.4,b
Total,Turkey,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2015,59.6,
Total,Turkey,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2013,63.2,
Total,Turkey,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2014,63.7,b
Total,Turkey,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2015,64.2,
Total,Turkey,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2013,57.4,
Total,Turkey,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2014,57.5,b
Total,Turkey,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2015,57.5,
Total,Turkey,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2013,59.3,
Total,Turkey,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2014,58.8,b
Total,Turkey,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2015,59.2,
Total,Turkey,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2013,57.7,
Total,Turkey,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2014,57,b
Total,Turkey,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2015,57,
Total,Turkey,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2013,62.7,
Total,Turkey,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2014,61.6,b
Total,Turkey,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2015,62.5,
Total,Turkey,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2013,58.2,
Total,Turkey,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2014,58.9,b
Total,Turkey,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2015,59.5,
Total,Turkey,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2013,54.9,
Total,Turkey,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2014,54.1,b
Total,Turkey,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2015,53.7,
Total,Turkey,From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2013,54,
Total,Turkey,From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2014,53,b
Total,Turkey,From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2015,52.8,
Total,Turkey,From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2013,57.3,
Total,Turkey,From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2014,58.3,b
Total,Turkey,From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2015,56.1,
Total,Turkey,From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2013,53.5,
Total,Turkey,From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2014,50.8,b
Total,Turkey,From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2015,54.2,
Total,Euro area (13 countries),From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2013,:,
Total,Euro area (13 countries),From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2014,:,
Total,Euro area (13 countries),From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2015,:,
Total,Euro area (13 countries),From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2013,:,
Total,Euro area (13 countries),From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2014,:,
Total,Euro area (13 countries),From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2015,:,
Total,Euro area (13 countries),From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2013,:,
Total,Euro area (13 countries),From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2014,:,
Total,Euro area (13 countries),From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2015,:,
Total,Euro area (13 countries),From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2013,:,
Total,Euro area (13 countries),From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2014,:,
Total,Euro area (13 countries),From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2015,:,
Total,Euro area (13 countries),From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2013,:,
Total,Euro area (13 countries),From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2014,:,
Total,Euro area (13 countries),From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2015,:,
Total,Euro area (13 countries),From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2013,:,
Total,Euro area (13 countries),From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2014,:,
Total,Euro area (13 countries),From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2015,:,
Total,Euro area (13 countries),From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2013,:,
Total,Euro area (13 countries),From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2014,:,
Total,Euro area (13 countries),From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2015,:,
Total,Euro area (13 countries),From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2013,:,
Total,Euro area (13 countries),From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2014,:,
Total,Euro area (13 countries),From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2015,:,
Total,Euro area (13 countries),From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2013,:,
Total,Euro area (13 countries),From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2014,:,
Total,Euro area (13 countries),From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2015,:,
Total,Euro area (13 countries),From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2013,:,
Total,Euro area (13 countries),From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2014,:,
Total,Euro area (13 countries),From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2015,:,
Total,Euro area (13 countries),From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2013,:,
Total,Euro area (13 countries),From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2014,:,
Total,Euro area (13 countries),From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2015,:,
Total,Euro area (13 countries),From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2013,:,
Total,Euro area (13 countries),From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2014,:,
Total,Euro area (13 countries),From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2015,:,
Total,Euro area (13 countries),From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2013,:,
Total,Euro area (13 countries),From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2014,:,
Total,Euro area (13 countries),From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2015,:,
